configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed
2x2_different_skew_common_additive_e0_np50_nq500,2x2_different_skew_common_additive_e0,2x2,2,2,construction_check,different_skew,common,additive,different_skew,50,500,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.0,0.08440247330149508,0.08440247330149508,10000,3603682615557655627
2x2_different_skew_common_additive_e0_np500_nq50,2x2_different_skew_common_additive_e0,2x2,2,2,construction_check,different_skew,common,additive,different_skew,500,50,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.0,0.08440247330149508,0.08440247330149508,10000,17937019041846463321
2x2_different_skew_common_additive_e0.1_np10_nq10,2x2_different_skew_common_additive_e0.1,2x2,2,2,construction_check,different_skew,common,additive,different_skew,10,10,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.04220123665074757,0.08440247330149508,0.12660370995224265,10000,1032272602524428972
2x2_different_skew_common_additive_e0.1_np50_nq50,2x2_different_skew_common_additive_e0.1,2x2,2,2,construction_check,different_skew,common,additive,different_skew,50,50,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.04220123665074757,0.08440247330149508,0.12660370995224265,10000,14954166884285198427
2x2_different_skew_common_additive_e0.1_np250_nq250,2x2_different_skew_common_additive_e0.1,2x2,2,2,construction_check,different_skew,common,additive,different_skew,250,250,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.04220123665074757,0.08440247330149508,0.12660370995224265,10000,6831299679970544470
2x2_different_skew_common_additive_e0.1_np1000_nq1000,2x2_different_skew_common_additive_e0.1,2x2,2,2,construction_check,different_skew,common,additive,different_skew,1000,1000,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.04220123665074757,0.08440247330149508,0.12660370995224265,10000,8042033236917305088
2x2_different_skew_common_additive_e0.1_np50_nq500,2x2_different_skew_common_additive_e0.1,2x2,2,2,construction_check,different_skew,common,additive,different_skew,50,500,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.04220123665074757,0.08440247330149508,0.12660370995224265,10000,16055888944026128253
2x2_different_skew_common_additive_e0.1_np500_nq50,2x2_different_skew_common_additive_e0.1,2x2,2,2,construction_check,different_skew,common,additive,different_skew,500,50,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.04220123665074757,0.08440247330149508,0.12660370995224265,10000,12802758162967772354
2x2_different_skew_common_additive_e0.3_np10_nq10,2x2_different_skew_common_additive_e0.3,2x2,2,2,construction_check,different_skew,common,additive,different_skew,10,10,0.3,0.4220123665074754,0.08440247330149475,0.21100618325373766,0.12660370995224263,0.08440247330149508,0.2110061832537377,10000,1958038684260499263
2x2_different_skew_common_additive_e0.3_np50_nq50,2x2_different_skew_common_additive_e0.3,2x2,2,2,construction_check,different_skew,common,additive,different_skew,50,50,0.3,0.4220123665074754,0.08440247330149475,0.21100618325373766,0.12660370995224263,0.08440247330149508,0.2110061832537377,10000,10835455619082091890
